ID,cible_churn,z_CDSEXE,z_MTREV,z_NBENF,z_BPADH,z_age_ref,z_anciennete_adh_ans,sit_A,sit_B,sit_C,sit_D,sit_E,sit_F,sit_G,sit_M,sit_P,sit_S,sit_U,sit_V,cat_sitfam,cat_sexe,cat_nbenf,cat_mtrev,cat_age,cat_anc
13265,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,3.847411951903354,0.024986065562365205,-1.142012115996063,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13266,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.2152021548686218,0.024986065562365205,-1.142012115996063,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
13267,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.2516727339537298,-2.0704991630588636,-1.142012115996063,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
13268,0,-0.9093286682807151,-0.5506112457710796,0.6227412345253366,-0.19436182396284576,-1.648535516474671,-1.1422908571672745,0,0,1,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0
13269,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.2568828166801738,0.024986065562365205,-1.1422908571672745,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0
13270,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.2464626512272858,0.024986065562365205,-1.143127080680909,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0
13271,0,1.8474695668177514,-0.5498035813810511,-0.5109013763616733,-0.2568828166801738,-2.0071472840540356,-1.1434058218521206,0,0,0,0,0,0,0,0,1,0,0,0,11,3,0,0,0,0
13272,0,-0.9093286682807151,0.44766194030409556,0.6227412345253366,3.847307750248825,0.024986065562365205,-1.143684563023332,0,0,0,0,0,0,0,0,1,0,0,0,11,1,1,0,0,0
13273,0,-0.9093286682807151,0.3394349120402821,-0.5109013763616733,-0.19436182396284576,0.024986065562365205,-1.143684563023332,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
13274,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,3.8473598510760896,1.883976723237971,-1.143684563023332,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
13275,0,1.8474695668177514,-0.5506112457710796,-0.5109013763616733,-0.15049292740618728,0.024986065562365205,-1.143684563023332,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
13276,0,-0.9093286682807151,1.791615485311451,-0.5109013763616733,3.847307750248825,-1.692681169717854,-1.143684563023332,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
13277,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,3.8473598510760896,-0.549480746771006,-1.1442420453657551,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
13278,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,3.8473598510760896,-0.41991038790140306,-1.1442420453657551,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13279,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,3.8473598510760896,0.024986065562365205,-1.1442420453657551,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13280,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,0.08698264326513036,-0.9958105006647476,-1.1442420453657551,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0
13281,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,3.8473598510760896,0.024986065562365205,-1.14507826887939,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
13282,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.2568828166801738,0.024986065562365205,-1.14507826887939,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0
13283,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,0.19118429779401042,-1.9211492582556269,-1.145635751221813,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0
13284,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.2516727339537298,-2.382098676535098,-1.145635751221813,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
13285,0,0.4690704492685181,2.1146812413228346,0.6227412345253366,-0.15049292740618728,0.024986065562365205,-1.1459144923930245,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,0,0
13286,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,0.08698264326513036,0.024986065562365205,-1.1459144923930245,0,0,0,0,0,0,0,0,0,0,1,0,9,1,0,0,0,0
13287,0,-0.9093286682807151,1.3167088239747173,2.8900264562993567,3.847307750248825,-0.7871219580606091,-1.146193233564236,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,1,0,0
13288,0,1.8474695668177514,0.9161072865206017,-0.5109013763616733,-0.2152021548686218,-1.7021409525556794,-1.146193233564236,0,0,1,0,0,0,0,0,0,0,0,0,5,3,0,1,0,0
13289,0,0.4690704492685181,1.890150540894923,-0.5109013763616733,0.1709691768154077,0.024986065562365205,-1.146193233564236,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,1,0,0
13290,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,2.189556374908316,-1.1470294570778707,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0
13291,0,0.4690704492685181,-0.5506112457710796,1.7563838454123466,-0.2568828166801738,0.024986065562365205,-1.1470294570778707,0,0,0,1,0,0,0,0,0,0,0,0,3,2,2,0,0,0
13292,0,-0.9093286682807151,-0.5506112457710796,0.6227412345253366,-0.022429093990193688,0.024986065562365205,-1.1470294570778707,0,0,0,0,0,0,0,0,0,0,1,0,9,1,1,0,0,0
13293,0,1.8474695668177514,1.0017197118636183,0.6227412345253366,-0.06410975580174572,0.024986065562365205,-1.1470294570778707,0,0,0,0,0,0,0,0,0,0,1,0,9,3,1,1,0,0
13294,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-0.2516727339537298,0.024986065562365205,-1.147308198249082,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0
